,city1_2,flag,flight,flight_num,plane
1,南京哈尔滨,2,3U,2,320
2,南京哈尔滨,2,MF,2,738
3,南京哈尔滨,2,MU,2,320
4,南京哈尔滨,2,ZH,2,738
5,大连西安,3,CZ,8,319
6,西安大连,3,GS,2,E90
7,西安大连,3,HU,2,738
8,西安大连,3,MU,2,320
9,西安大连,3,ZH,2,320
10,义乌广州,6,CZ,10,733
11,广州福州,7,CZ,12,319
12,广州福州,7,HU,4,738
13,广州福州,7,MF,6,752
14,西安沈阳,8,9C,2,320
15,西安沈阳,8,CZ,8,320
16,西安沈阳,8,HU,5,738
17,西安沈阳,8,MU,2,73G
18,西安沈阳,8,ZH,4,320
19,重庆兰州,9,HU,4,738
20,重庆兰州,9,SC,2,738
21,杭州郑州,10,3U,2,320
22,郑州杭州,10,CZ,13,733
23,郑州杭州,10,MF,6,738
24,郑州杭州,10,MU,4,320
25,郑州杭州,10,VD,2,E90
26,昆明贵阳,11,3U,2,320
27,昆明贵阳,11,8L,4,73G
28,昆明贵阳,11,CA,2,320
29,贵阳昆明,11,CZ,4,73G
30,昆明贵阳,11,KY,4,737
31,昆明贵阳,11,MU,2,CR2
32,长沙三亚,12,BK,2,738
33,长沙三亚,12,CZ,4,320
34,长沙三亚,12,HU,6,738
35,长沙三亚,12,JD,2,319
36,长沙三亚,12,MU,3,73G
37,长沙三亚,12,ZH,2,320
38,烟台成都,13,SC,2,73G
39,贵阳成都,14,3U,6,321
40,贵阳成都,14,CA,2,733
41,贵阳成都,14,CZ,6,738
42,成都贵阳,14,EU,4,319
43,贵阳成都,14,G5,2,CR2
44,烟台广州,15,SC,2,733
45,烟台杭州,16,SC,12,CR2
46,三亚合肥,18,HU,6,737
47,三亚合肥,18,MU,4,320
48,重庆济南,19,3U,4,319
49,重庆济南,19,HU,2,737
50,重庆济南,19,MU,4,319
51,重庆济南,19,PN,2,319
52,重庆济南,19,SC,12,733
53,长春南京,20,CZ,2,319
54,长春南京,20,MU,9,320
55,长春南京,20,ZH,2,738
56,重庆南京,22,3U,8,320
57,重庆南京,22,8L,2,737
58,重庆南京,22,CA,4,73G
59,重庆南京,22,CZ,2,320
60,重庆南京,22,MU,6,320
61,重庆南京,22,OQ,10,319
62,重庆南京,22,PN,4,737
63,南京重庆,22,SC,2,738
64,宁波长沙,23,GS,4,EMB
65,长沙宁波,23,HU,4,733
66,长沙宁波,23,MF,4,738
67,长沙宁波,23,MU,4,320
68,宁波长沙,23,NS,2,320
69,重庆石家庄,24,9C,2,320
70,重庆石家庄,24,MU,4,73G
71,石家庄重庆,24,NS,2,320
72,重庆石家庄,24,ZH,2,320
73,舟山广州,25,ZH,2,320
74,南宁合肥,26,GS,2,E90
75,南宁合肥,26,KY,2,737
76,银川青岛,27,SC,2,733
77,太原合肥,29,HU,3,738
78,重庆昆明,30,3U,4,ERJ
79,昆明重庆,30,8L,4,737
80,重庆昆明,30,CZ,12,321
81,重庆昆明,30,KY,8,73G
82,重庆昆明,30,MU,16,320
83,重庆昆明,30,OQ,2,320
84,重庆昆明,30,PN,2,319
85,乌鲁木齐青岛,31,CZ,6,73G
86,青岛乌鲁木齐,31,SC,10,738
87,南阳广州,32,CZ,4,ERJ
88,杭州大连,33,3U,4,320
89,杭州大连,33,CA,2,319
90,大连杭州,33,CZ,12,319
91,杭州大连,33,MF,2,738
92,杭州大连,33,MU,2,320
93,重庆武汉,34,3U,4,ERJ
94,重庆武汉,34,CZ,4,73G
95,武汉重庆,34,MF,2,738
96,武汉重庆,34,MU,2,EMB
97,重庆武汉,34,OQ,6,320
98,重庆武汉,34,PN,2,319
99,武汉重庆,34,SC,2,733
100,郑州北海,39,CZ,2,738
101,长沙温州,40,CA,2,752
102,长沙温州,40,CZ,4,73G
103,长沙温州,40,EU,6,319
104,福州沈阳,41,MF,4,738
105,鄂尔多斯哈尔滨,42,MU,2,737
106,沈阳银川,44,CZ,4,320
107,厦门杭州,45,MF,10,738
108,厦门杭州,45,MU,4,73G
109,厦门杭州,45,SC,22,737
110,临沧昆明,46,MU,4,73G
111,重庆西宁,47,3U,4,320
112,成都银川,48,3U,2,320
113,银川成都,48,CA,2,319
114,长沙深圳,49,CZ,12,321
115,长沙深圳,49,HU,2,738
116,长沙深圳,49,ZH,5,738
117,天津兰州,50,GS,4,ERJ
118,海口杭州,54,CZ,2,733
119,杭州海口,54,GS,4,E90
120,杭州海口,54,HU,5,733
121,深圳南阳,56,CZ,4,ERJ
122,锡林浩特呼和浩特,58,CA,2,733
123,锡林浩特呼和浩特,58,GS,14,ERJ
124,锡林浩特呼和浩特,58,MU,4,ERJ
125,延安西安,60,GS,2,E90
126,延安西安,60,JR,4,MA6
127,深圳济南,61,CZ,4,320
128,深圳济南,61,HU,4,738
129,深圳济南,61,SC,8,733
130,深圳济南,61,ZH,4,738
131,天津桂林,64,BK,2,738
132,杭州青岛,67,CA,2,319
133,青岛杭州,67,CZ,10,319
134,杭州青岛,67,MF,2,738
135,青岛杭州,67,MU,2,320
136,青岛杭州,67,SC,14,737
137,西宁成都,69,3U,6,320
138,西宁成都,69,CA,4,319
139,西宁成都,69,TV,2,319
140,深圳洛阳,70,CZ,4,320
141,西安南昌,71,HU,2,738
142,南昌西安,71,MF,2,752
143,西安南昌,71,MU,4,320
144,南昌西安,71,SC,2,733
145,黄山厦门,73,JD,4,319
146,成都济宁,79,EU,4,319
147,成都北海,203,EU,4,319
148,重庆北海,259,EU,4,319
149,重庆长春,363,3U,2,320
150,长春重庆,363,CZ,2,320
151,大连长春,413,CZ,4,73G
152,长春大连,413,MU,7,320
153,大连长春,413,ZH,2,738
154,成都大连,498,3U,6,321
155,大连成都,498,CZ,6,319
156,成都大连,498,EU,4,320
157,长沙广州,546,CZ,10,320
158,广州长沙,546,ZH,2,320
159,海口北海,550,MU,2,ERJ
160,贵阳长沙,651,CZ,6,73G
161,长沙贵阳,651,MF,2,738
162,长沙贵阳,651,MU,5,320
163,长沙贵阳,651,ZH,2,320
164,长沙海口,687,BK,2,738
165,长沙海口,687,CZ,4,320
166,长沙海口,687,EU,2,319
167,长沙海口,687,GS,4,E90
168,长沙海口,687,HU,20,737
169,长沙海口,687,JD,4,319
170,长沙海口,687,MU,1,73G
171,杭州长春,703,CZ,2,321
172,杭州长春,703,MF,2,738
173,广州赣州,798,CZ,4,ERJ
174,广州广元,806,CA,2,73G
175,贵阳福州,868,EU,4,319
176,贵阳福州,868,G5,2,CR2
177,福州贵阳,868,MF,6,752
178,长沙济南,877,CZ,2,73G
179,长沙济南,877,HU,5,737
180,长沙济南,877,MF,6,738
181,长沙济南,877,SC,8,733
182,长春昆明,910,CZ,6,319
183,昆明长春,910,KY,2,737
184,成都呼和浩特,911,3U,2,319
185,呼和浩特成都,911,CA,10,733
186,呼和浩特成都,911,ZH,2,737
187,贵阳广州,921,CA,6,733
188,贵阳广州,921,CZ,10,319
189,贵阳广州,921,HU,7,734
190,贵阳广州,921,ZH,12,320
191,大连哈尔滨,934,3U,2,320
192,大连哈尔滨,934,CA,2,320
193,哈尔滨大连,934,CZ,4,320
194,哈尔滨大连,934,HU,2,738
195,大连哈尔滨,934,SC,6,733
196,哈尔滨大连,934,ZH,2,320
197,福州杭州,951,MF,2,738
198,福州济南,1094,MF,6,738
199,济南福州,1094,SC,8,CR2
200,济南福州,1094,ZH,2,738
201,长沙南京,1104,BK,2,738
202,长沙南京,1104,CZ,16,320
203,南京长沙,1104,EU,4,320
204,长沙南京,1104,MF,2,738
205,长沙南京,1104,MU,6,320
206,南京长沙,1104,ZH,2,737
207,哈尔滨贵阳,1142,3U,4,319
208,哈尔滨贵阳,1142,G5,2,CR2
209,长沙南宁,1146,CA,2,319
210,南宁长沙,1146,CZ,6,738
211,南宁长沙,1146,EU,6,319
212,长沙南宁,1146,GS,4,EMB
213,长沙南宁,1146,HU,8,738
214,长沙南宁,1146,SC,2,733
215,长沙南宁,1146,ZH,4,737
216,重庆南昌,1187,3U,2,320
217,重庆南昌,1187,MF,6,738
218,长沙青岛,1204,CZ,6,320
219,长沙青岛,1204,MF,4,738
220,长沙青岛,1204,MU,6,ERJ
221,青岛长沙,1204,SC,4,733
222,长沙青岛,1204,ZH,2,737
223,海口合肥,1210,CZ,4,733
224,合肥海口,1210,HU,2,738
225,昆明广州,1219,CZ,18,319
226,昆明广州,1219,MU,13,733
227,昆明广州,1219,ZH,10,320
228,济南贵阳,1245,CZ,4,320
229,济南贵阳,1245,SC,10,733
230,南京大连,1269,CZ,20,319
231,南京大连,1269,HU,6,738
232,南京大连,1269,MF,2,738
233,南京大连,1269,MU,15,320
234,南京大连,1269,ZH,4,320
235,连云港广州,1301,CZ,3,319
236,大连南宁,1311,CZ,6,319
237,南宁大连,1311,GS,2,E90
238,南宁大连,1311,HU,8,738
239,南宁大连,1311,ZH,2,733
240,泸州广州,1332,CA,4,733
241,昆明海口,1353,8L,2,73G
242,昆明海口,1353,CZ,2,733
243,昆明海口,1353,HU,2,738
244,昆明海口,1353,MU,2,737
245,重庆三亚,1366,3U,6,319
246,重庆三亚,1366,CA,2,73G
247,重庆三亚,1366,CZ,2,321
248,重庆三亚,1366,HU,5,738
249,重庆三亚,1366,JD,2,319
250,重庆三亚,1366,OQ,2,320
251,重庆三亚,1366,PN,2,319
252,长沙沈阳,1376,BK,2,738
253,长沙沈阳,1376,CZ,8,320
254,长春深圳,1383,CZ,10,319
255,长春深圳,1383,ZH,4,738
256,济南合肥,1398,SC,12,CR2
257,南昌贵阳,1441,MU,2,320
258,兰州杭州,1444,CZ,2,73G
259,深圳常州,1446,ZH,3,320
260,南京贵阳,1473,8L,4,73G
261,南京贵阳,1473,CZ,4,319
262,贵阳南京,1473,KY,2,73G
263,南京贵阳,1473,MU,2,320
264,南京贵阳,1473,ZH,2,738
265,南京海口,1512,EU,2,319
266,南京海口,1512,HU,2,738
267,南京海口,1512,MU,2,320
268,南京海口,1512,ZH,2,738
269,温州长春,1530,SC,2,737
270,成都石家庄,1542,3U,2,319
271,石家庄成都,1542,9C,2,320
272,石家庄成都,1542,MU,2,73G
273,石家庄成都,1542,NS,2,320
274,三亚桂林,1586,3U,2,320
275,三亚桂林,1586,CZ,6,319
276,三亚桂林,1586,JD,4,319
277,深圳大连,1588,CZ,8,320
278,深圳大连,1588,HU,2,738
279,深圳大连,1588,ZH,4,320
280,兰州昆明,1656,8L,4,73G
281,兰州昆明,1656,MU,2,320
282,长春厦门,1660,CZ,2,319
283,厦门长春,1660,MF,2,738
284,长春厦门,1660,SC,4,73G
285,哈尔滨宁波,1664,3U,2,320
286,哈尔滨宁波,1664,CZ,2,321
287,天津大连,1692,CZ,8,319
288,天津大连,1692,GS,12,E90
289,济南南京,1699,SC,4,CR2
290,泸州昆明,1713,MU,8,737
291,南宁济南,1740,CZ,2,733
292,南宁济南,1740,EU,2,319
293,济南南宁,1740,SC,2,CR2
294,南宁济南,1740,ZH,2,738
295,天津福州,1743,FM,2,738
296,天津福州,1743,GS,6,E90
297,福州天津,1743,MF,2,738
298,沈阳贵阳,1744,CZ,4,319
299,深圳桂林,1759,CZ,6,320
300,深圳桂林,1759,ZH,8,319
301,南京昆明,1773,8L,6,73G
302,昆明南京,1773,KY,2,73G
303,南京昆明,1773,MU,12,73G
304,南京昆明,1773,SC,2,733
305,沈阳海口,1783,CZ,2,M90
306,沈阳海口,1783,HU,2,738
307,海口沈阳,1783,JD,2,319
308,西安成都,1812,3U,6,319
309,西安成都,1812,CA,2,319
310,西安成都,1812,CZ,8,320
311,西安成都,1812,EU,2,319
312,西安成都,1812,HU,4,737
313,西安成都,1812,MU,8,320
314,大连乌鲁木齐,1820,CZ,4,319
315,乌鲁木齐大连,1820,HU,2,738
316,沈阳哈尔滨,1862,CZ,4,320
317,沈阳哈尔滨,1862,MF,2,738
318,沈阳哈尔滨,1862,ZH,2,320
319,海口石家庄,1884,JD,2,319
320,石家庄海口,1884,NS,4,ERJ
321,南京南昌,1893,CZ,4,319
322,南京南昌,1893,MU,2,320
323,武汉广州,1900,CA,2,320
324,武汉广州,1900,CZ,14,738
325,武汉广州,1900,MU,4,733
326,武汉广州,1900,ZH,4,320
327,青岛兰州,1908,SC,2,733
328,宜昌成都,1941,3U,6,321
329,武汉贵阳,1980,CZ,12,73G
330,武汉贵阳,1980,SC,4,738
331,深圳呼和浩特,1983,CZ,6,320
332,深圳呼和浩特,1983,HU,2,733
333,深圳呼和浩特,1983,ZH,3,738
334,徐州大连,1991,3U,4,319
335,青岛南昌,1993,MF,6,73G
336,青岛南昌,1993,ZH,2,320
337,重庆银川,2006,3U,2,320
338,银川重庆,2006,GS,2,E90
339,湛江成都,2012,CA,2,319
340,烟台大连,2014,BK,4,MA6
341,烟台大连,2014,MU,2,ERJ
342,烟台大连,2014,SC,8,CR2
343,青岛南京,2026,MU,2,320
344,青岛南京,2026,SC,10,733
345,沈阳兰州,2082,CZ,2,319
346,沈阳兰州,2082,ZH,2,320
347,武汉哈尔滨,2100,3U,2,320
348,武汉哈尔滨,2100,CA,2,320
349,武汉哈尔滨,2100,CZ,4,738
350,武汉哈尔滨,2100,MU,3,738
351,郑州大连,2121,CZ,6,320
352,郑州大连,2121,GS,2,E90
353,郑州大连,2121,HU,2,738
354,郑州大连,2121,ZH,4,733
355,厦门哈尔滨,2189,HU,2,738
356,厦门哈尔滨,2189,MF,2,738
357,杭州西安,2201,CA,4,320
358,西安杭州,2201,CZ,2,73G
359,西安杭州,2201,GS,2,E90
360,西安杭州,2201,HU,4,738
361,西安杭州,2201,MF,4,738
362,西安杭州,2201,MU,10,320
363,西安杭州,2201,ZH,2,320
364,武汉济南,2209,8L,3,73G
365,武汉济南,2209,CZ,6,738
366,武汉济南,2209,MF,4,752
367,武汉济南,2209,SC,4,733
368,张家界广州,2213,CZ,4,319
369,张家界广州,2213,FM,2,738
370,乌鲁木齐济南,2248,CZ,6,73G
371,乌鲁木齐济南,2248,HU,2,738
372,济南乌鲁木齐,2248,MF,4,738
373,乌鲁木齐济南,2248,MU,4,319
374,乌鲁木齐济南,2248,SC,11,738
375,西安合肥,2268,CZ,4,73G
376,西安合肥,2268,GS,6,E90
377,合肥西安,2268,MU,2,320
378,厦门济南,2298,MF,10,73G
379,厦门济南,2298,SC,26,733
380,武汉兰州,2319,MU,14,73G
381,乌鲁木齐昆明,2324,8L,6,73G
382,乌鲁木齐昆明,2324,CZ,2,73G
383,乌鲁木齐昆明,2324,MU,4,737
384,深圳宁波,2326,CZ,4,319
385,深圳宁波,2326,HU,4,738
386,深圳宁波,2326,MU,2,320
387,深圳宁波,2326,ZH,2,738
388,烟台哈尔滨,2331,BK,4,738
389,烟台哈尔滨,2331,MU,9,738
390,烟台哈尔滨,2331,SC,8,CR2
391,沈阳三亚,2343,CZ,4,319
392,沈阳三亚,2343,ZH,2,320
393,青岛深圳,2357,CZ,6,319
394,深圳青岛,2357,HU,2,738
395,深圳青岛,2357,SC,6,CR2
396,深圳青岛,2357,ZH,4,738
397,温州南昌,2360,GS,2,E90
398,厦门兰州,2407,HU,2,738
399,厦门兰州,2407,MF,4,738
400,厦门兰州,2407,SC,2,738
401,天津青岛,2443,GS,7,E90
402,天津青岛,2443,SC,4,CR2
403,西宁昆明,2465,3U,2,320
404,西安拉萨,2469,3U,4,319
405,西安拉萨,2469,MU,5,319
406,武汉南宁,2472,3U,2,320
407,武汉南宁,2472,CZ,4,738
408,武汉南宁,2472,GS,8,E90
409,武汉南宁,2472,SC,2,CR2
410,武汉南宁,2472,ZH,2,320
411,乌鲁木齐南京,2475,CZ,4,73G
412,乌鲁木齐南京,2475,HU,4,738
413,乌鲁木齐南京,2475,MU,10,320
414,乌鲁木齐南京,2475,ZH,3,738
415,银川济南,2479,HU,2,738
416,银川济南,2479,SC,6,733
417,昆明徐州,2490,3U,2,320
418,昆明徐州,2490,8L,2,737
419,温州青岛,2496,CZ,4,M90
420,温州青岛,2496,SC,4,CR2
421,郑州济南,2548,SC,6,738
422,广州成都,2561,3U,8,320
423,广州成都,2561,CA,20,321
424,广州成都,2561,CZ,16,319
425,广州成都,2561,EU,2,319
426,广州成都,2561,JD,2,319
427,广州成都,2561,ZH,4,320
428,武汉三亚,2579,CZ,10,738
429,武汉三亚,2579,JD,2,319
430,武汉三亚,2579,MU,4,ERJ
431,厦门宁波,2594,MF,2,738
432,厦门宁波,2594,SC,2,CR2
433,成都长沙,2604,3U,2,321
434,成都长沙,2604,CA,2,752
435,长沙成都,2604,CZ,8,320
436,成都长沙,2604,EU,2,319
437,长沙成都,2604,HU,2,734
438,长沙成都,2604,MF,8,738
439,张家界大连,2616,EU,2,319
440,太原广州,2619,CZ,8,319
441,太原广州,2619,HU,2,733
442,太原广州,2619,MU,2,738
443,厦门衢州,2644,FM,2,CR2
444,青岛西安,2677,CZ,6,319
445,西安青岛,2677,GS,2,E90
446,西安青岛,2677,HU,5,738
447,西安青岛,2677,MU,2,320
448,西安青岛,2677,SC,4,733
449,张家界南昌,2694,EU,2,319
450,武汉沈阳,2714,CZ,4,738
451,武汉沈阳,2714,HU,2,738
452,武汉沈阳,2714,MU,2,ERJ
453,武汉沈阳,2714,ZH,2,320
454,天津太原,2726,BK,2,738
455,天津太原,2726,GS,8,ERJ
456,重庆南宁,2738,CZ,4,738
457,重庆南宁,2738,G5,2,CR2
458,重庆南宁,2738,GS,2,E90
459,重庆南宁,2738,NS,2,320
460,重庆南宁,2738,ZH,2,320
461,乌鲁木齐沈阳,2748,CZ,4,319
462,沈阳厦门,2804,CZ,2,M90
463,沈阳厦门,2804,HU,4,738
464,厦门沈阳,2804,MF,4,738
465,沈阳厦门,2804,SC,2,733
466,沈阳厦门,2804,ZH,2,737
467,天津武汉,2852,GS,8,E90
468,武汉天津,2852,MF,2,738
469,深圳厦门,2861,CZ,12,320
470,深圳厦门,2861,HU,2,738
471,深圳厦门,2861,MF,8,73G
472,深圳厦门,2861,ZH,2,738
473,长沙兰州,2865,ZH,3,738
474,太原呼和浩特,2881,8L,6,73G
475,呼和浩特太原,2881,GS,4,ERJ
476,张家界杭州,2884,MU,3,320
477,武汉温州,2907,CZ,2,73G
478,武汉温州,2907,HU,4,738
479,武汉温州,2907,MU,4,73G
480,长沙西宁,2922,CZ,2,320
481,长沙西宁,2922,ZH,2,320
482,长沙杭州,2975,BK,2,738
483,杭州长沙,2975,CA,2,319
484,长沙杭州,2975,CZ,2,320
485,长沙杭州,2975,EU,2,319
486,杭州长沙,2975,MF,4,738
487,呼和浩特广州,2997,CA,2,733
488,呼和浩特广州,2997,CZ,4,319
489,呼和浩特广州,2997,ZH,4,320
490,昆明太原,3007,8L,6,73G
491,太原昆明,3007,MU,6,73G
492,太原昆明,3007,ZH,2,320
493,西安武汉,3088,CZ,8,738
494,西安武汉,3088,HU,2,738
495,武汉西安,3088,MF,4,752
496,西安武汉,3088,MU,9,738
497,兰州福州,3091,HU,2,738
498,合肥桂林,3097,MU,6,320
499,丽江成都,3111,3U,2,319
500,丽江成都,3111,CA,2,736
501,丽江成都,3111,EU,2,320
502,丽江成都,3111,JD,2,319
503,丽江成都,3111,MU,4,733
504,常州昆明,3112,CZ,2,319
505,昆明常州,3112,MU,2,73G
506,西宁武汉,3120,ZH,2,320
507,兰州广州,3132,CZ,4,319
508,兰州广州,3132,MU,2,320
509,广州兰州,3132,ZH,2,733
510,西宁乌鲁木齐,3152,CZ,6,320
511,西宁乌鲁木齐,3152,HU,4,738
512,郑州太原,3161,JR,4,MA6
513,郑州太原,3161,VD,2,E90
514,烟台武汉,3170,MU,5,ERJ
515,烟台武汉,3170,SC,6,738
516,郑州天津,3189,BK,2,738
517,郑州天津,3189,CZ,2,733
518,天津郑州,3189,GS,10,E90
519,天津郑州,3189,MF,2,738
520,郑州天津,3189,VD,2,E90
521,南昌广州,3237,CZ,8,319
522,南昌广州,3237,HU,2,737
523,南昌广州,3237,MU,6,320
524,南昌广州,3237,ZH,8,737
525,张家界南京,3252,3U,4,319
526,张家界南京,3252,CZ,2,320
527,张家界南京,3252,MU,22,320
528,西安西宁,3259,3U,2,319
529,西安西宁,3259,CZ,6,320
530,西宁西安,3259,HU,4,738
531,西宁西安,3259,MU,11,319
532,西宁西安,3259,ZH,10,738
533,绵阳广州,3265,CZ,2,319
534,三亚太原,3291,CZ,2,320
535,太原三亚,3291,HU,2,738
536,三亚太原,3291,JD,2,319
537,太原三亚,3291,MU,3,73G
538,深圳景德镇,3293,ZH,6,737
539,郑州乌鲁木齐,3317,3U,2,320
540,郑州乌鲁木齐,3317,CZ,16,738
541,郑州乌鲁木齐,3317,HU,4,738
542,郑州乌鲁木齐,3317,MF,6,73G
543,成都济南,3337,3U,6,319
544,济南成都,3337,CA,2,319
545,济南成都,3337,CZ,6,319
546,成都济南,3337,EU,2,320
547,济南成都,3337,MU,6,319
548,济南成都,3337,SC,4,73G
549,南通广州,3348,CZ,2,319
550,宁波广州,3356,CZ,8,319
551,宁波广州,3356,HU,6,738
552,宁波广州,3356,MU,6,320
553,合肥成都,3383,3U,2,319
554,合肥成都,3383,CA,2,321
555,合肥成都,3383,MU,6,320
556,三亚广州,3406,CZ,22,320
557,三亚广州,3406,FM,2,738
558,三亚广州,3406,HU,4,738
559,三亚广州,3406,JD,2,319
560,三亚广州,3406,ZH,2,738
561,厦门珠海,3417,MF,12,737
562,厦门珠海,3417,SC,4,738
563,南宁南京,3429,CZ,2,738
564,南宁南京,3429,ZH,6,733
565,重庆合肥,3435,3U,4,ERJ
566,重庆合肥,3435,MU,6,320
567,济南兰州,3464,CZ,4,319
568,兰州济南,3464,SC,5,738
569,珠海西安,3466,CZ,2,73G
570,大连合肥,3490,CZ,10,319
571,合肥大连,3490,HU,2,738
572,温州天津,3545,GS,6,E90
573,厦门海口,3552,CZ,6,M90
574,厦门海口,3552,HU,2,738
575,厦门海口,3552,MF,16,73G
576,深圳南通,3556,ZH,2,320
577,西安昆明,3621,8L,4,73G
578,西安昆明,3621,HU,2,738
579,西安昆明,3621,KY,6,737
580,西安昆明,3621,MU,14,737
581,温州太原,3628,MU,2,73G
582,武汉太原,3651,CZ,12,738
583,武汉太原,3651,MU,4,73G
584,武汉北海,3662,CZ,2,738
585,武汉北海,3662,MU,2,ERJ
586,银川南京,3663,CZ,4,73G
587,银川南京,3663,MU,4,320
588,昆明济南,3671,3U,4,320
589,昆明济南,3671,8L,8,73G
590,昆明济南,3671,KY,4,73G
591,昆明济南,3671,SC,4,733
592,长沙石家庄,3685,CZ,2,320
593,石家庄长沙,3685,NS,2,320
594,青岛广州,3713,CZ,10,319
595,广州青岛,3713,HU,4,738
596,青岛广州,3713,MU,2,320
597,青岛广州,3713,SC,4,733
598,青岛广州,3713,ZH,2,320
599,张家界武汉,3741,MU,6,ERJ
600,厦门景德镇,3753,3U,2,320
601,烟台天津,3803,BK,2,MA6
602,烟台天津,3803,GS,6,ERJ
603,烟台天津,3803,SC,2,CR2
604,哈尔滨合肥,3811,3U,2,319
605,合肥哈尔滨,3811,CZ,2,320
606,合肥哈尔滨,3811,HU,2,738
607,长沙长春,3813,CZ,2,320
608,昆明洛阳,3816,MU,2,737
609,兰州三亚,3818,3U,2,320
610,三亚兰州,3818,JD,6,319
611,无锡广州,3852,CZ,4,319
612,无锡广州,3852,MU,4,320
613,无锡广州,3852,ZH,8,320
614,重庆福州,3906,3U,2,320
615,重庆福州,3906,CZ,2,752
616,重庆福州,3906,HU,2,738
617,福州重庆,3906,MF,6,738
618,重庆福州,3906,PN,2,319
619,长沙厦门,3917,3U,2,321
620,长沙厦门,3917,MF,10,738
621,长沙厦门,3917,PN,2,319
622,厦门南昌,3924,MF,8,738
623,厦门南昌,3924,MU,2,320
624,厦门南昌,3924,SC,2,733
625,昆明合肥,3959,8L,4,73G
626,合肥昆明,3959,BK,4,735
627,昆明合肥,3959,KY,2,737
628,昆明合肥,3959,MU,8,320
629,厦门桂林,3966,JD,2,319
630,厦门桂林,3966,MF,2,752
631,厦门桂林,3966,SC,4,738
632,南京厦门,3976,CZ,2,319
633,厦门南京,3976,MF,8,738
634,厦门南京,3976,MU,18,737
635,厦门南京,3976,SC,2,CR2
636,徐州广州,3999,CZ,3,319
637,大连常州,4012,CZ,2,319
638,通辽呼和浩特,4015,CA,2,733
639,通辽呼和浩特,4015,G5,2,CR2
640,通辽呼和浩特,4015,GS,6,ERJ
641,乌海呼和浩特,4024,GS,4,ERJ
642,乌海呼和浩特,4024,MU,2,73G
643,郑州武汉,4060,MU,2,ERJ
644,西安深圳,4081,CZ,20,320
645,西安深圳,4081,HU,6,738
646,西安深圳,4081,MU,2,320
647,西安深圳,4081,ZH,8,320
648,重庆大连,4101,3U,2,ERJ
649,大连重庆,4101,CZ,10,321
650,重庆大连,4101,G5,6,CR2
651,重庆大连,4101,HU,2,737
652,重庆大连,4101,PN,2,319
653,重庆大连,4101,ZH,2,320
654,南京宁波,4108,SC,2,738
655,长沙张家界,4122,CZ,4,321
656,乌鲁木齐敦煌,4138,CZ,4,73G
657,敦煌乌鲁木齐,4138,GS,4,E90
658,宁波济南,4155,SC,6,733
659,郑州长沙,4158,CZ,4,738
660,深圳丽江,4160,CZ,2,319
661,深圳丽江,4160,ZH,6,737
662,海口成都,4168,3U,2,320
663,海口成都,4168,CA,2,319
664,海口成都,4168,HU,2,738
665,济南温州,4196,GS,4,ERJ
666,温州济南,4196,SC,12,737
667,珠海长沙,4201,CZ,2,73G
668,宜昌深圳,4232,ZH,2,320
669,郑州南宁,4249,CZ,7,738
670,南宁郑州,4249,GS,2,E90
671,郑州南宁,4249,VD,2,E90
672,郑州南宁,4249,ZH,2,733
673,西安温州,4253,GS,4,E90
674,西安温州,4253,HU,2,738
675,温州西安,4253,MU,2,320
676,青岛南宁,4278,CZ,5,738
677,南宁青岛,4278,GS,2,E90
678,青岛南宁,4278,SC,2,733
679,南宁青岛,4278,ZH,2,737
680,珠海南宁,4288,SC,4,738
681,郑州珠海,4306,VD,2,E90
682,温州连云港,4326,MU,2,ERJ
683,宁波青岛,4328,CZ,2,733
684,青岛宁波,4328,HU,6,733
685,宁波青岛,4328,MF,4,738
686,青岛宁波,4328,SC,2,CR2
687,西安乌鲁木齐,4341,8L,2,319
688,西安乌鲁木齐,4341,BK,2,738
689,西安乌鲁木齐,4341,CA,2,319
690,乌鲁木齐西安,4341,CZ,16,73G
691,西安乌鲁木齐,4341,GS,4,E90
692,西安乌鲁木齐,4341,HU,4,738
693,西安乌鲁木齐,4341,MU,4,320
694,西安乌鲁木齐,4341,SC,2,733
695,温州南京,4423,MU,2,73G
696,重庆拉萨,4432,3U,8,319
697,重庆拉萨,4432,CA,2,319
698,重庆拉萨,4432,CZ,8,319
699,重庆拉萨,4432,TV,4,319
700,温州南宁,4437,CZ,6,319
701,南宁温州,4437,EU,6,319
702,温州南宁,4437,GS,2,E90
703,温州南宁,4437,ZH,2,733
704,武汉厦门,4453,CA,2,320
705,武汉厦门,4453,CZ,6,73G
706,厦门武汉,4453,MF,14,73G
707,武汉厦门,4453,MU,4,ERJ
708,武汉厦门,4453,SC,2,CR2
709,长沙北海,4466,CZ,4,738
710,海口广州,4472,CZ,20,733
711,海口广州,4472,HU,17,738
712,海口广州,4472,JD,2,319
713,海口广州,4472,MU,2,733
714,海口广州,4472,ZH,6,320
715,厦门昆明,4473,3U,2,320
716,厦门昆明,4473,8L,2,73G
717,厦门昆明,4473,KY,10,737
718,厦门昆明,4473,MF,2,738
719,厦门昆明,4473,MU,6,73G
720,厦门昆明,4473,SC,4,738
721,郑州银川,4478,FM,2,738
722,郑州银川,4478,SC,2,738
723,烟台南京,4482,MU,7,ERJ
724,烟台南京,4482,SC,2,738
725,广州常州,4541,CZ,2,319
726,广州常州,4541,ZH,2,320
727,沈阳青岛,4547,9C,4,320
